Summary level,Program label,Program,Sub-program,Name,Code,Subsidized units available,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Average Family Expenditure per month ($$),Average HUD Expenditure per month ($$),Household income per year,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),% very low income,% extremely low income,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),% Minority,%Black Non-Hispanic, %Black Hispanic,%Native American Non-Hispanic,%Asian or Pacific Islander Non-Hispanic,% Hispanic,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category,%White Hispanic,%White Non-Hispanic,% Multiple Race,%Other Hispanic
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021101,37001021101,58,91,53,100,5,23,2.8,148,347,693,14699,5264,15,6,40,9,30,36,2,51,22,94,79,-1,66,81,62,20,50,8,6,68,23,4,-1,81,79,-1,-1,-1,2,23,66,87,134,17,32,51,15,18,50,63,NA,15500,27280,NA,NA,NC,NA,NA,2,19,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021102,37001021102,120,92,112,100,5,23,2.1,240,358,695,15286,7134,15,7,35,18,26,33,1,62,24,94,71,3,46,82,42,33,31,17,4,51,21,23,-1,54,52,2,-1,-1,3,18,72,95,118,28,46,27,13,23,38,67,NA,15500,27280,NA,NA,NC,NA,NA,1,45,2,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021201,37001021201,21,76,17,100,6,6,1.6,28,397,566,18036,10951,13,-1,25,38,25,18,-1,76,30,94,53,-1,35,76,35,50,86,39,6,24,29,41,-1,53,47,-1,-1,-1,6,15,147,82,166,24,47,29,41,13,59,63,NA,15500,30260,NA,NA,NC,NA,NA,-1,47,0,6
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021204,37001021204,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,66460,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021205,37001021205,71,86,62,100,5,21,2.2,139,460,749,17649,7872,3,15,32,19,31,40,-1,55,28,81,69,2,50,73,37,33,54,19,10,60,10,21,2,76,73,-1,-1,-1,3,20,64,97,147,26,45,29,16,10,45,55,NA,15500,42240,NA,NA,NC,NA,NA,2,24,2,2
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021206,37001021206,84,85,71,99,6,11,2.4,169,360,640,15173,6374,10,10,35,15,29,39,-1,56,24,99,69,4,55,30,15,27,36,14,11,61,13,15,1,83,80,-1,-1,-1,3,16,75,93,115,20,54,27,20,9,42,63,NA,15500,42240,NA,NA,NC,NA,NA,3,17,1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021207,37001021207,15,87,13,99,6,-1,1,13,338,516,12440,12440,-1,-1,77,15,8,15,-1,85,23,100,92,-1,-1,100,-1,50,71,62,-1,8,38,54,-1,23,23,-1,-1,-1,0,-1,159,54,164,54,46,-1,46,21,28,78,NA,15500,42240,NA,NA,NC,NA,NA,-1,77,8,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021300,37001021300,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,75375,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021400,37001021400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021500,37001021500,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021600,37001021600,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,25980,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021701,37001021701,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,25980,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021702,37001021702,12,97,12,100,10,-1,1.2,14,299,302,12438,10662,-1,-1,83,17,-1,-1,-1,100,23,100,83,-1,8,58,8,100,100,86,-1,17,33,50,-1,25,25,-1,-1,-1,0,-1,94,8,256,92,8,-1,-1,28,20,77,NA,15500,21095,NA,NA,NC,NA,NA,-1,75,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021703,37001021703,48,77,37,99,6,16,1.3,47,365,607,15398,12122,8,-1,41,30,22,11,-1,89,28,97,59,-1,14,92,14,65,35,38,-1,19,27,54,8,70,68,-1,-1,-1,3,15,73,100,82,35,54,11,49,4,38,37,NA,15500,09060,NA,NA,NC,NA,NA,3,30,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021801,37001021801,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,00640,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021802,37001021802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021803,37001021803,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021901,37001021901,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 021902,37001021902,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 022001,37001022001,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 022002,37001022002,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,15500,59580,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alamance County 999999,37001999999,35,77,27,100,6,15,1.9,52,307,537,12990,6745,8,4,50,23,15,19,-1,78,22,100,89,4,30,78,33,57,83,33,-1,44,33,22,-1,74,63,-1,4,-1,7,17,99,81,118,30,30,41,37,0,0,0,NA,15500,09060,NA,NA,NC,NA,NA,4,26,0,4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040100,37003040100,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,25860,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040200,37003040200,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,25860,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040300,37003040300,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,25860,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040400,37003040400,46,73,41,100,7,15,1.7,70,308,622,12448,7291,13,5,48,28,8,12,-1,85,24,100,68,5,24,78,22,61,77,46,-1,46,22,32,2,39,34,2,-1,-1,5,12,85,73,181,32,44,24,34,18,22,61,NA,25860,66960,NA,NA,NC,NA,NA,2,61,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040500,37003040500,14,82,14,100,5,21,2.2,31,297,654,11657,5264,14,21,43,7,14,36,-1,64,20,100,86,-1,50,100,50,50,-1,23,-1,50,50,-1,-1,7,7,-1,-1,-1,0,4,82,100,179,7,43,50,57,13,19,61,NA,25860,31260,NA,NA,NC,NA,NA,-1,93,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040600,37003040600,13,82,13,100,4,38,1.6,21,397,654,15963,9882,-1,15,38,8,38,15,-1,85,30,100,62,-1,38,85,38,73,50,48,-1,38,46,15,-1,8,8,-1,-1,-1,0,10,36,92,161,8,46,46,62,6,20,61,NA,25860,66960,NA,NA,NC,NA,NA,-1,92,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alexander County 040700,37003040700,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,25860,05530,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Alleghany County 950100,37005950100,52,87,47,100,6,9,1.6,76,276,618,10910,6747,17,4,61,13,4,9,-1,89,21,100,87,2,28,79,28,48,80,39,2,23,32,43,4,6,2,-1,2,-1,2,6,88,100,109,9,45,47,66,23,16,80,NA,99999,63680,NA,NA,NC,NA,NA,2,94,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alleghany County 950200,37005950200,155,88,140,100,6,20,1.9,259,315,577,13199,7135,11,8,44,25,13,24,1,71,25,96,71,6,30,74,33,41,57,27,8,36,22,34,1,11,4,1,1,-1,6,8,71,96,113,35,36,29,28,27,21,70,NA,99999,63680,NA,NA,NC,NA,NA,5,89,1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alleghany County 950300,37005950300,14,87,13,100,7,-1,2,26,307,618,12222,6111,9,-1,55,9,27,8,-1,77,22,100,69,23,23,69,38,57,83,35,-1,8,46,46,-1,0,-1,-1,-1,-1,0,-1,151,100,113,-1,62,38,62,18,9,82,NA,99999,99999,NA,NA,NC,NA,NA,-1,100,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Alleghany County 999999,37005999999,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,99999,63680,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920100,37007920100,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,16740,38200,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920200,37007920200,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,16740,01420,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920301,37007920301,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,16740,53140,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920302,37007920302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920400,37007920400,177,91,163,100,6,10,2.6,420,289,553,13380,5193,28,9,25,15,23,32,1,66,24,91,69,1,62,91,61,28,80,17,10,56,18,15,-1,93,93,-1,-1,-1,0,51,79,94,91,18,42,40,16,46,76,78,NA,16740,70380,NA,NA,NC,NA,NA,-1,4,1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920501,37007920501,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,16740,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920502,37007920502,153,87,132,99,7,12,2.1,275,360,482,15701,7537,8,14,33,22,23,31,1,67,29,89,61,2,39,84,39,26,76,24,3,51,13,33,3,90,89,-1,1,1,0,17,85,93,160,47,19,34,9,21,57,73,NA,16740,70380,NA,NA,NC,NA,NA,-1,10,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 920600,37007920600,24,81,19,97,7,16,3.1,59,348,544,14439,4650,28,6,17,11,39,26,-1,68,24,95,58,-1,74,95,74,20,50,15,-1,74,5,21,-1,100,100,-1,-1,-1,0,134,61,100,226,5,16,79,32,9,62,63,NA,16740,44560,NA,NA,NC,NA,NA,-1,-1,0,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 980000,37007980000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NC,NA,NA,-1,-1,-1,-1
7,Summary of All HUD Programs,1,NA,NC North Carolina Anson County 999999,37007999999,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,16740,38200,NA,NA,NC,NA,NA,-4,-4,-4,-4
7,Summary of All HUD Programs,1,NA,NC North Carolina Ashe County 970200,37009970200,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,99999,99999,NA,NA,NC,NA,NA,-4,-4,-4,-4
